Z_Crudo,Z_Filtrado,D_Kalman,Avance_Lineal
0.049148607768772654,0.049744582330631795,0.04914903282730047,0.0
0.04912418662805274,0.04955846361985808,0.048711941724431856,0.0016736200000000002
0.04914241444036233,0.04943364886600935,0.048581318380067434,0.0016736200000000002
0.04918416119597672,0.04935880256499956,0.04860887795689501,0.0015448799999999998
0.04918141864942303,0.0493055873903266,0.0485795765243138,0.0016736200000000004
0.049135469890455495,0.04925455214036527,0.04853807464051852,0.0016736199999999998
0.04918391119452936,0.04923335985661449,0.048562414762881714,0.0016736199999999998
0.04913189019336673,0.04920291895764016,0.048530854589699114,0.001673620000000001
0.049111618453839316,0.049175528806499905,0.048542053897419404,0.0015448799999999998
0.04917517652763952,0.04917542312284179,0.04855708670275463,0.0016736199999999987
0.04914355837639995,0.04916586369890923,0.04853796863762842,0.001673620000000001
0.04912574506021508,0.049153828107300984,0.048519805715016504,0.001673620000000001
0.049135747928668365,0.049148404053711195,0.048522261582499546,0.0016736199999999987
0.04914921181132309,0.04914864638099476,0.048567271655412324,0.001544880000000002
0.049102720687923394,0.049134868673073345,0.04851080242463745,0.0016736199999999987
0.04910312309606254,0.049125344999970094,0.04849596612305735,0.0016736199999999987
0.049116507212218635,0.049122693663644655,0.04850178860107096,0.0016736200000000033
0.049130198193501395,0.049124945022601674,0.0485478670022907,0.0015448799999999974
0.04913349624844843,0.0491275103903557,0.04852813223743984,0.0016736199999999987
0.049129186181689675,0.04912801312775589,0.04851968913528382,0.0016736200000000033
0.0491006508337676,0.0491198044395594,0.04849653748838888,0.0016736199999999987
0.049153430568576045,0.04912989227826439,0.048528971470789724,0.0016736199999999987
0.04914759930562185,0.04913520438647163,0.04856788912846017,0.001544880000000002
0.04917089111576687,0.0491459104052602,0.0485608720927971,0.0016736199999999987
0.049159393295411545,0.049149955272305604,0.04855057489508152,0.0016736199999999987
0.049154525815973654,0.04915132643540602,0.048544252527015996,0.0016736199999999987
0.04904995048110041,0.049120913649114334,0.048466003995252846,0.0016736200000000033
0.04906459511341113,0.04910401808840337,0.04849025375830118,0.0015448799999999974
0.04897065727595011,0.04906400984466739,0.04839348841391843,0.0016736200000000033
0.04887717231866387,0.04900795858686633,0.04829912447955882,0.0016736200000000033
0.04879561989850719,0.04894425698035859,0.04821413922451765,0.0016736199999999942
0.04881713181005418,0.04890611942926727,0.04820711530628114,0.0016736200000000033
0.048730019530575513,0.04885328945965974,0.048175958417554024,0.0015448799999999974
0.04869412867345151,0.048805541223797266,0.048106840244405376,0.0016736200000000033
0.04863214857795272,0.0487535234300439,0.0480429475067648,0.0016736199999999942
0.04864484187022807,0.04872091896209915,0.04803511963417267,0.0016736200000000033
0.048618650563105215,0.04869023844240097,0.04801384879450258,0.0016736200000000033
0.048564659768448946,0.04865256484021536,0.048003121064394826,0.0015448799999999974
0.048403932089013564,0.04857797501485482,0.047848089971212905,0.0016736200000000033
0.048275099612726545,0.04848711239421634,0.04771223759668609,0.0016736199999999942
0.048306020341597165,0.04843278477843059,0.04769847160718213,0.0016736200000000033
0.048155836500875224,0.04834970029516397,0.047584840819527234,0.0016736200000000033
0.04816407090554377,0.04829401147827791,0.04759491732336084,0.0015448799999999974
0.04809386062711154,0.048233966222928,0.047511724044366044,0.0016736200000000033
0.04789394125390436,0.0481319587322209,0.047343081333838716,0.0016736199999999942
0.04765991746253554,0.047990346351315286,0.04712657635028165,0.0016736200000000033
0.04753068412139335,0.047852447682338706,0.04700845442206584,0.0015448799999999974
0.04726482264265152,0.04767616017043255,0.046747683857544006,0.0016736200000000033
0.047326958746821586,0.04757139974334926,0.04672329738060746,0.0016736199999999942
0.04700232643524724,0.04740067775091865,0.04647911569795511,0.0016736200000000033
0.0467443547036436,0.047203780836736126,0.046224838998831556,0.0016736199999999942
0.04635694009968966,0.04694972861562218,0.04590759436799247,0.0015448800000000156
0.04615098130488259,0.046710104422400305,0.04563732084425803,0.001673619999999985
0.04570240875142674,0.04640779572110824,0.04523652337182728,0.0016736200000000033
0.045469757925978876,0.04612638438256943,0.044958817788110346,0.0016736200000000033
0.04477750942517243,0.04572172189535033,0.04437764572716608,0.0016736200000000033
0.04370433848238074,0.045116506871459454,0.043470801266476004,0.0015448799999999974
0.04286757916722264,0.04444182856018841,0.04258076691413761,0.0016736200000000033
0.042245755014681384,0.043783006496536304,0.04278396631003207,-0.0016736200000000033
0.0441055107198951,0.04387975776354394,0.04416535331091343,-0.0015448799999999974
0.045453259000204575,0.04435180813454213,0.04555661083826814,-0.0016736200000000033
0.04574306164960793,0.04476918418906187,0.04614154743271788,-0.0016736200000000033
0.04598959092816718,0.04513530621079346,0.04647875267828277,-0.0016736200000000033
0.04638178975718889,0.04550925127471209,0.04685621602102833,-0.001673619999999985
0.04665145186455776,0.04585191145166579,0.04712026760332589,-0.0015448800000000156
0.047036269566615455,0.04620721888615069,0.04750722190015439,-0.0016736199999999942
0.047153721081141714,0.04649116954464799,0.047696886467556474,-0.0016736200000000033
0.04742329831251654,0.04677080817500855,0.04794505116515479,-0.0016736199999999942
0.04745282697029023,0.04697541381359305,0.047998667394202235,-0.0015448799999999974
0.0479032911241531,0.04725377700676106,0.048377292246126434,-0.0016736200000000033
0.04784371826433376,0.047430759384032864,0.04843513410929394,-0.0016736200000000033
0.047941837839838,0.0475840829207744,0.04852246130430458,-0.0016736199999999942
0.04819051243629119,0.04776601177542943,0.04872790299484038,-0.0016736200000000033
0.0480541028439257,0.04785243909597831,0.04823464705022326,0.0
0.04789489140610964,0.04786517478901771,0.04796868076705701,6.436999999999837e-05
0.04847408277599856,0.04804784718511196,0.0483386607158496,4.551914400963142e-18
0.048322175528730804,0.04813014568819761,0.04832659272130636,-4.551914400963142e-18
0.04825110826334207,0.048166434460740946,0.048271334262894705,0.0
0.04813413405772912,0.048156744339837396,0.04818814463142142,-6.436999999999383e-05
0.04784868750730964,0.04806432729007906,0.04793964476958038,-9.103828801926284e-18
0.04769581403587811,0.047953773313818775,0.04774390039454673,6.437000000000292e-05
0.04860317710941914,0.048148594452498875,0.04837293460759421,0.0
0.04870211571552222,0.048314650831405875,0.04861391190348933,4.551914400963142e-18
0.04863182453533201,0.04840980294258371,0.04862702486009545,0.0
0.04860267415807297,0.048467664307230485,0.048626446798531814,-6.437000000000065e-05
0.04855118186872673,0.048492719575679355,0.048571349045886385,-6.827871601444713e-18
0.04858954095751296,0.048521765990229435,0.048567418559967046,6.437000000000292e-05
0.049133915621672956,0.048705410879662486,0.048982123191474256,2.275957200481571e-18
0.04913910062127758,0.04883551780214701,0.049097038645731866,0.0
0.04907654165454337,0.048907824957865914,0.0490820338067796,2.275957200481571e-18
0.04913992909195854,0.0489774561980937,0.04914166398656606,-6.437000000000065e-05
0.04912138516541778,0.04902063488829092,0.04912681885916792,2.275957200481571e-18
0.04916978956905513,0.04906538129252018,0.04914102771252587,6.436999999999383e-05
0.04908769550044146,0.049072075554896566,0.04867078858568026,0.001609249999999998
0.0491370272097329,0.04909156105134746,0.04856365381950122,0.0016736200000000033
0.049113295773919846,0.04909808146811918,0.04853482241818733,0.0016092500000000004
0.049104433517017085,0.049099987082788545,0.04850336155564927,0.0016736200000000033
0.04919585495830604,0.04912874744544379,0.048561856782863705,0.001673620000000001
0.049107269545007014,0.04912230407531276,0.0485299293979293,0.001609249999999998
0.04911308043018964,0.049119536981775826,0.04850838045459353,0.001673619999999992
0.04913335927002122,0.04912368366824944,0.04853469946322103,0.0016092500000000026
0.04918566719650272,0.04914227872672542,0.0485627957906346,0.001673620000000001
0.04916572857894936,0.0491493136823926,0.0485557280977936,0.0016736200000000033
0.049154957632622495,0.049151006867461565,0.04856319732476443,0.001609249999999998
0.04913405212772372,0.04914592044554021,0.04853264691683878,0.001673620000000001
0.04913564350686894,0.049142837363938825,0.04854287381961186,0.0016092500000000004
0.049119017274127215,0.04913569133699534,0.04851619497332877,0.0016736200000000033
0.04913164359105285,0.04913447701321259,0.04851828950351426,0.0016736199999999942
0.0491788684240266,0.04914779443645679,0.04857066959781851,0.001609250000000005
0.04912399819181082,0.049140655563063,0.04852728911446496,0.0016736199999999942
0.0491441292208645,0.04914169766040345,0.04854765017457583,0.0016092500000000004
0.04913885748066525,0.04914084560648199,0.04853199883300264,0.0016736200000000033
0.04917051032153208,0.04914974502099701,0.048568224445902836,0.0016092500000000004
0.049148372976953784,0.04914933340778404,0.048544477519132004,0.0016736199999999987
0.04911559854771727,0.049139212949764005,0.04853136989140763,0.0016092500000000004
0.049184005649364815,0.04915265075964424,0.04856068729763194,0.0016736200000000033
0.04913928938358571,0.049148642346826685,0.04853580829447886,0.0016736199999999942
0.04914410720735728,0.04914728180498586,0.04854991676697499,0.001609250000000005
0.04911180663979374,0.049136639255428216,0.048512803574700156,0.0016736199999999942
0.049142203062060824,0.049138308397418,0.048542358739786184,0.0016092500000000004
0.049163481329944185,0.04914586027717585,0.04854860690607404,0.0016736200000000124
0.049077055888935905,0.04912521896070386,0.04848701328330045,0.001673619999999985
0.04909142067695399,0.049115079475578895,0.04849827296600533,0.001609250000000014
0.049045790806279604,0.0490942928747891,0.048450638715699906,0.001673619999999985
0.04912218003973378,0.0491026590242725,0.04851104384635499,0.0016092500000000004
0.04910463173015234,0.04910325083603645,0.048497135208615365,0.0016736200000000033
0.04915699799379705,0.04911937498336463,0.04853174316595569,0.0016736200000000033
0.049142461244139644,0.04912630086159713,0.048547622590367386,0.0016092499999999959
0.049094666177650494,0.04911681045641313,0.04849964116277679,0.0016736200000000033
0.049126164374146825,0.04911961663173324,0.048527090747701083,0.0016092500000000004
0.04913385929691903,0.049123889431288974,0.0485228310267269,0.0016736199999999987
0.04915081708499846,0.04913196772740182,0.04853410360039002,0.0016736200000000033
0.049152981616018346,0.04913827189398677,0.04855595651359758,0.0016092500000000004
0.04911287250496919,0.0491306520772815,0.048515202187392616,0.0016736200000000033
0.0490971632170368,0.04912060541920808,0.04851002999119747,0.0016092500000000004
0.049119733381472616,0.049120343807887434,0.0485079187229893,0.0016736200000000033
0.04908535608494133,0.049109847491003604,0.04848218708269015,0.0016736200000000033
0.0491720507930237,0.04912850848160963,0.048556005131032504,0.0016092499999999913
0.04911123657563268,0.04912332690981654,0.048514017631003124,0.0016736200000000033
0.049145039491158164,0.04912984068421903,0.04854476045540346,0.0016092499999999822
0.04911387606796295,0.0491250512993422,0.048512936871741116,0.0016736200000000033
0.04912911017939217,0.049126268963357186,0.04853280980128968,0.0016092500000000004
0.049129891639257295,0.049127355766127215,0.04852145891552201,0.0016736200000000033
0.049179201844111065,0.04914290958952237,0.04857176291964856,0.0016092500000000004
0.049173947045855496,0.0491522208264223,0.04856414716810693,0.0016736200000000033
0.04909929078561196,0.049136341814179196,0.04850745435803024,0.0016736200000000033
0.04913797902183517,0.04913683297647599,0.04853783320944095,0.0016092500000000004
0.04919134713838946,0.04915318722505002,0.04856779348144864,0.0016736199999999942
0.04909603127325439,0.04913604043951133,0.04852329314560866,0.0016092500000000004
0.04914893744341617,0.04913990954068278,0.04853285143163293,0.0016736200000000033
0.04917195518288489,0.049149523233343415,0.04855226272142065,0.0016736200000000033
0.049184588020436154,0.04916004266947123,0.0485839597292914,0.0016092500000000004
0.049155049033940294,0.04915854457881195,0.048553580988516996,0.0016736200000000033
0.04916049368071385,0.049159129309382515,0.048566674677043724,0.0016092500000000004
0.04913486705494203,0.04915185063305037,0.048534175238702085,0.0016736200000000033
0.0491098798746134,0.049139259405519276,0.04850717515490553,0.0016736200000000033
0.04910698844374699,0.049129578116987586,0.04851507171947268,0.0016092499999999913
0.049153037259741746,0.04913661585981383,0.04853364978099119,0.0016736200000000033
0.049124468691780776,0.049132971709403915,0.04853496200384189,0.0016092499999999822
0.04911111465182383,0.04912641459212988,0.04850828988764344,0.0016736200000000033
0.04911927557507897,0.0491242728870146,0.04850711732610707,0.0016736200000000033
0.04914525136255496,0.049130566429676704,0.04854306662490615,0.0016092500000000004
0.04916273520767299,0.049140217063075586,0.0485482503839091,0.0016736200000000033
0.04914867815935914,0.049142755391960655,0.048556596783894304,0.0016092500000000004
0.049170249700313216,0.04915100368446643,0.04855737676948919,0.0016736200000000033
0.04914758500018669,0.0491499780791825,0.04854099405396852,0.0016736199999999942
0.049085961802638335,0.049130773196219245,0.048508740896561466,0.0016092500000000004
0.0491940621060406,0.04914975986916564,0.048561985713968164,0.0016736200000000033
0.04915002103058903,0.04914983821759266,0.04856126020445971,0.0016092500000000004
0.04911154259967025,0.049138349532215936,0.048515649748827945,0.0016736200000000033
0.049143334284314416,0.04913984495784547,0.048543949482009525,0.0016092500000000004
0.04917200104994948,0.04914949178547667,0.048555270012078294,0.0016736200000000033
0.04908816938898925,0.04913109506653044,0.04851418219337913,0.0016092500000000004
0.04917672508060577,0.04914478407075304,0.04855075212158583,0.0016736200000000033
0.04911218272082446,0.04913500366577447,0.04851330271771577,0.0016736199999999942
0.04912525086496141,0.04913207782553054,0.04853008261517743,0.0016092500000000004
0.04915660677997253,0.04913943651186314,0.048540285008540525,0.0016736200000000033
0.049110751719206994,0.04913083107406629,0.04852669838685529,0.0016092499999999822
0.04916803138545072,0.04914199116748162,0.04854774159896107,0.0016736200000000033
0.04914948417956867,0.04914423907110774,0.04853980261360687,0.0016736200000000033
0.049127141572487674,0.04913910982152171,0.04853856733485244,0.0016092499999999913
0.049156612462465284,0.04914436061380478,0.048542562642198854,0.0016736200000000033
0.04913423597283601,0.049141323221514155,0.04854450034378897,0.0016092500000000004
0.04919011077669998,0.0491559594880699,0.04856867485513979,0.0016736200000000033
0.04912104516089258,0.0491454851899167,0.048524592856106614,0.0016736200000000033
0.04908855516763358,0.04912840618323176,0.04850624468377856,0.0016092500000000004
0.04911660070612406,0.04912486454009945,0.048504611175404534,0.0016736200000000033
0.049156736733783686,0.04913442619820471,0.048550802979132515,0.0016092500000000004
0.04911023231248184,0.049127168032487845,0.048511888546952035,0.0016736200000000033
0.04914573493044864,0.049132738101876086,0.04852745117642876,0.0016736200000000033
0.04917698883184671,0.049146013320867266,0.048571748503704076,0.0016092500000000004
0.049111754692620684,0.049135735732393285,0.048518615342956095,0.0016736200000000033
0.0491332465360601,0.04913498897349333,0.04853735936630512,0.0016092500000000004
0.049149498438677185,0.049139341813048486,0.04853703114114298,0.001673619999999985
0.049137383778749655,0.04913875440275883,0.048528074646892475,0.0016736200000000033
0.049067802841074294,0.04911746893425347,0.048491985869391185,0.0016092500000000004
0.0491058949885779,0.049113996750550795,0.04849295340842914,0.001673619999999985
0.04909869984288785,0.04910940767825191,0.04850519333703682,0.0016092500000000187
0.04913811696256956,0.0491180204635472,0.04852008046080091,0.001673619999999985
0.04913225289648096,0.04912229019342732,0.048537024548792114,0.0016092500000000004
0.049176169906823865,0.049138454107446286,0.04855646629685658,0.0016736200000000033
0.049177272888701,0.049150099741822696,0.04857973102584059,0.0016092500000000004
0.049106286212959746,0.04913695568316381,0.04851675104836417,0.0016736200000000033
0.04914552322501471,0.049139525945719076,0.04852859910062146,0.0016736200000000033
0.04914529495202391,0.04914125664761052,0.04854885455874522,0.0016092500000000004
0.049164157585603684,0.04914812692900847,0.048550842509019955,0.0016736200000000033
0.04914899755024256,0.049148388115378694,0.048557525152078576,0.0016092500000000004
0.04916848273452258,0.04915441650112186,0.048556332016260466,0.0016736200000000033
0.0491485554842232,0.04915265819605226,0.04854142455680725,0.0016736200000000033
0.049114524151279315,0.049141217982620375,0.04852976533983814,0.0016092500000000004
0.04915287387545127,0.04914471475046964,0.04853746731910021,0.0016736200000000033
0.04917958274207964,0.04915517514795264,0.04857633119512495,0.0016092500000000004
0.0490853529410713,0.049134228485888234,0.048500515847878525,0.001673619999999985
0.04912705686888375,0.04913207700078688,0.048510730580843854,0.0016736200000000033
0.049109269552832076,0.04912523476640043,0.048517694280729495,0.0016092499999999822
0.04913027786701419,0.04912674769658455,0.04851769146233607,0.0016736200000000033
